Ticket #,Customer Complaint,Date,Time,Received Via,City,State,Zip code,Filing on Behalf of Someone,Status
342435,Issues with Comcast,15-06-2015,10:39:15 PM,Internet,Arlington,Virginia,22206,No,Solved
348514,Comcast Refuses to Schedule a Future Service Stoppage,18-06-2015,12:02:57 PM,Internet,Arlington,Virginia,22204,No,Solved
352100,Comcast,19-06-2015,2:36:57 PM,Internet,Arlington,Virginia,22206,No,Open
355887,Overbilling,22-06-2015,1:45:40 PM,Customer Care Call,Arlington,Virginia,22207,Yes,Solved
356118,"Comcast - failure to provide service, refusal to void contract",22-06-2015,2:41:05 PM,Customer Care Call,Arlington,Virginia,22206,No,Solved
363869,Spotty Comcast service,25-06-2015,8:03:27 AM,Customer Care Call,Arlington,Virginia,22202,No,Solved
369398,without service despite willingness to pay,26-06-2015,9:09:12 PM,Customer Care Call,Arlington,Virginia,22204,No,Open
226231,Issues with Xfinity/Comcast,4/9/2015,12:24:32 PM,Customer Care Call,Arlington Heights,Illinois,60004,No,Closed
241880,Cable Modem rent for Internet access,17-04-2015,3:48:16 PM,Internet,Arlington Heights,Illinois,60004,No,Closed
360187,Comcast/Xfinity,23-06-2015,9:27:28 PM,Customer Care Call,Arvada,Colorado,80004,No,Solved
223960,Speed issues,4/8/2015,12:53:45 PM,Internet,Ashland,Virginia,23005,No,Closed
355934,AT&T,22-06-2015,1:58:04 PM,Customer Care Call,Athens,Tennessee,37303,No,Solved
211976,Fraudulent claims reported to collections agency,4/1/2015,1:26:53 PM,Customer Care Call,Atlanta,Georgia,30312,No,Closed
243998,Comcast using a Data Cap to take however much money they like,19-04-2015,10:49:13 PM,Internet,Atlanta,Georgia,30097,No,Closed
265755,Comcast Data Cap,30-04-2015,8:50:19 AM,Customer Care Call,Atlanta,Georgia,30339,No,Closed
230907,Speed of service,4/11/2015,8:30:03 PM,Customer Care Call,Atlanta,Georgia,30319,No,Closed
231273,Comcast's Monopolistic Practices and Data Capping,4/12/2015,3:22:03 PM,Internet,Atlanta,Georgia,30315,No,Closed
231292,"Comcast data cap ""trials""",4/12/2015,3:45:26 PM,Internet,Atlanta,Georgia,30316,No,Closed
231377,Comcast billing problem,4/12/2015,6:18:10 PM,Internet,Atlanta,Georgia,30308,No,Closed
252681,Comcast Needs Competition,23-04-2015,2:26:10 PM,Customer Care Call,Atlanta,Georgia,30315,No,Closed
268101,Comcast services/billing issues,5/1/2015,10:00:59 AM,Customer Care Call,Atlanta,Georgia,30316,No,Solved
269066,Incorrect Bill,5/1/2015,3:43:37 PM,Customer Care Call,Atlanta,Georgia,30317,No,Solved
273420,Legality of data caps,5/5/2015,11:58:26 AM,Internet,Atlanta,Georgia,30315,No,Closed
278509,Data caps,5/7/2015,2:55:45 PM,Internet,Atlanta,Georgia,30363,No,Open
279656,Comcast Added Service After I Declined It,5/8/2015,8:47:45 AM,Internet,Atlanta,Georgia,30345,No,Solved
288771,Comcast Misled With Overage Policy,13-05-2015,7:55:53 PM,Internet,Atlanta,Georgia,30317,No,Open
293512,Cable service and telephone connect not complete,16-05-2015,4:29:33 PM,Customer Care Call,Atlanta,Georgia,30311,Yes,Solved
297104,Comcast data cap,19-05-2015,1:51:11 PM,Customer Care Call,Atlanta,Georgia,30305,No,Solved
303412,Comcast Won't Cancel My Service,22-05-2015,1:09:51 PM,Customer Care Call,Atlanta,Georgia,30318,No,Solved
304450,Data Caps,23-05-2015,12:05:55 AM,Internet,Atlanta,Georgia,30318,No,Open
305137,Comcast disconnecting service before due date,23-05-2015,11:34:43 PM,Internet,Atlanta,Georgia,30324,No,Open
305982,comcast data cap,25-05-2015,3:34:56 PM,Internet,Atlanta,Georgia,30309,No,Open
307799,Comcast,26-05-2015,4:29:57 PM,Customer Care Call,Atlanta,Georgia,30318,No,Solved
308171,Unbelievable Treatment,26-05-2015,6:40:25 PM,Customer Care Call,Atlanta,Georgia,30310,No,Solved
312746,Denial of Comcast Business (Phone and internet) Service to my dental practice,28-05-2015,10:35:40 PM,Customer Care Call,Atlanta,Georgia,30324,No,Solved
311725,Comcast's Terrible Service - How are they still in business?,28-05-2015,2:46:47 PM,Internet,Atlanta,Georgia,30309,No,Solved
313949,they are forcing me for my bank account information by suspending my services for no reason (I also feel like they are committing corporate theft).,29-05-2015,3:56:01 PM,Internet,Atlanta,Georgia,30314,No,Solved
315173,Comcast discontinuation of service issue,30-05-2015,3:27:41 PM,Customer Care Call,Atlanta,Georgia,30312,No,Open
317945,Comcast customer service,6/1/2015,9:32:46 PM,Customer Care Call,Atlanta,Georgia,30329,No,Closed
318301,Comcast,6/2/2015,10:06:22 AM,Customer Care Call,Atlanta,Georgia,30315,No,Closed
322511,"Comcast bandwidth data caps in Atlanta, GA",6/3/2015,11:59:33 PM,Internet,Atlanta,Georgia,30341,Yes,Closed
322882,Comcast won't quit charging me for modem rental,6/4/2015,10:58:18 AM,Internet,Atlanta,Georgia,30317,No,Solved
323473,Comcast download caps,6/4/2015,2:18:03 PM,Internet,Atlanta,Georgia,30345,No,Solved
325596,Horrible Comcast Customer Service,6/5/2015,2:46:43 PM,Customer Care Call,Atlanta,Georgia,30339,No,Solved
327291,Data Cap,6/7/2015,10:01:52 AM,Internet,Atlanta,Georgia,30309,No,Solved
334035,Bad Customer Service,6/10/2015,10:24:00 PM,Internet,Atlanta,Georgia,30331,No,Solved
340637,disconnection of service,15-06-2015,10:56:55 AM,Customer Care Call,Atlanta,Georgia,30306,No,Solved
341535,Comcast Data Usage Charges,15-06-2015,3:39:09 PM,Customer Care Call,Atlanta,Georgia,30309,No,Open
350016,Comcast refuses service to my address,18-06-2015,4:45:38 PM,Customer Care Call,Atlanta,Georgia,30318,No,Solved
349567,Comcast will not let me discuss my bill or service with a representative,18-06-2015,3:36:45 PM,Customer Care Call,Atlanta,Georgia,30324,No,Solved
349716,Comcast billing frauds,18-06-2015,3:53:05 PM,Internet,Atlanta,Georgia,30328,No,Solved
354254,Comcast TV/Internet hookup,20-06-2015,7:16:33 PM,Internet,Atlanta,Georgia,30341,No,Solved
355121,no service for 5+ days,22-06-2015,9:05:33 AM,Internet,Atlanta,Georgia,30341,No,Solved
357856,Comcast - Billing,23-06-2015,11:35:54 AM,Customer Care Call,Atlanta,Georgia,30363,No,Open
359719,Comcast Internet,23-06-2015,6:27:47 PM,Customer Care Call,Atlanta,Georgia,30307,No,Solved
359260,Comcast speed integrity,23-06-2015,4:30:18 PM,Customer Care Call,Atlanta,Georgia,30308,No,Pending
358601,Data cap,23-06-2015,2:21:23 PM,Internet,Atlanta,Georgia,30306,No,Pending
362076,Comcast Atlanta Data Caps,24-06-2015,2:13:31 PM,Internet,Atlanta,Georgia,30306,No,Pending
362097,Comcast Atlanta Data Caps,24-06-2015,2:18:32 PM,Internet,Atlanta,Georgia,30324,No,Pending
363616,COMCAST Poor Customer Service,24-06-2015,10:28:58 PM,Internet,Atlanta,Georgia,30345,No,Open
361720,Overage on 300GB data plan with Comcast,24-06-2015,12:39:59 PM,Customer Care Call,Atlanta,Georgia,30306,No,Solved
362223,Comcast bill,24-06-2015,2:43:13 PM,Customer Care Call,Atlanta,Georgia,30316,No,Solved
363102,Comcast Data Cap,24-06-2015,6:24:57 PM,Customer Care Call,Atlanta,Georgia,30328,No,Pending
363235,Unfair Billing Practices,24-06-2015,7:12:16 PM,Internet,Atlanta,Georgia,30307,No,Solved
363424,Comcast data caps,24-06-2015,8:42:06 PM,Customer Care Call,Atlanta,Georgia,30327,No,Solved
365321,Comcast Refusing to Honor Internet Rate,25-06-2015,2:08:35 PM,Internet,Atlanta,Georgia,30324,No,Solved
363860,speed,25-06-2015,7:33:58 AM,Internet,Atlanta,Georgia,30316,No,Open
368838,Not Acceptable Internet Additional Charge.,26-06-2015,4:42:51 PM,Customer Care Call,Atlanta,Georgia,30339,No,Solved
367718,Comcast internet and cable service,26-06-2015,11:02:54 AM,Customer Care Call,Atlanta,Georgia,30316,Yes,Open
370846,"Comcast deceptive advertising, overage charges",28-06-2015,12:08:05 PM,Internet,Atlanta,Georgia,30329,No,Pending
372331,Comcast Data Caps,29-06-2015,1:49:15 PM,Internet,Atlanta,Georgia,30324,Yes,Pending
373205,Comcast: Xfinity Slamming,29-06-2015,5:41:37 PM,Internet,Atlanta,Georgia,30315,No,Closed
375377,Comcast Support Unable to Provide Accurate Information,30-06-2015,4:17:34 PM,Internet,Atlanta,Georgia,30328,No,Open
373977,Comcast Data Usage Limits,30-06-2015,8:14:37 AM,Internet,Atlanta,Georgia,30342,No,Pending
344456,Repeated Erroneous Modem Rental Charge,16-06-2015,8:17:10 PM,Customer Care Call,Atlanta,Georgia,30308,No,Solved
374159,Xfinity pricing,30-06-2015,10:33:18 AM,Customer Care Call,Atlantic Beach,Florida,32233,No,Solved
359224,Comcast monopoly,23-06-2015,4:22:19 PM,Internet,Attalla,Alabama,35954,No,Solved
274956,Internet connection both upload and download speeds,5/5/2015,7:34:03 PM,Customer Care Call,Attica,Indiana,47918,No,Open
338651,Internet Availability,13-06-2015,1:07:20 AM,Internet,Attica,Michigan,48412,No,Open
369453,"Comcast ""50 mb/s"" speed and throttling",26-06-2015,10:15:55 PM,Internet,Auburn,Georgia,30011,No,Pending
221984,Complaint against Comcast,4/7/2015,2:43:14 PM,Internet,Auburn,Pennsylvania,17922,No,Closed
346885,Comcast,17-06-2015,6:17:59 PM,Internet,Auburn,Washington,98092,No,Open
359070,Comcast (Xfinity) Monopolistic Billing Practices,23-06-2015,3:49:46 PM,Internet,Auburn,Washington,98092,No,Closed
372769,Internet Throttling,29-06-2015,3:47:44 PM,Internet,Auburn,Washington,98092,No,Solved
311239,Data Usage Overage,28-05-2015,12:16:01 PM,Internet,Augusta,Georgia,30907,Yes,Solved
339371,double billing after change of service,13-06-2015,5:24:59 PM,Internet,Augusta,Georgia,30904,Yes,Solved
360222,Bandwidth Caps becoming excessive,23-06-2015,9:36:55 PM,Internet,Augusta,Georgia,30907,No,Solved
370518,Comcast data limits,27-06-2015,8:32:23 PM,Customer Care Call,Augusta,Georgia,30904,Yes,Solved
335988,Unable to cancel xfinity home security,6/11/2015,9:11:33 PM,Customer Care Call,Aurora,Colorado,80012,No,Solved
361604,Comcast trying to setup stuff we didn't order,24-06-2015,12:16:47 PM,Customer Care Call,Aurora,Colorado,80011,No,Solved
369583,Terrible waiting times,27-06-2015,1:21:11 AM,Internet,Aurora,Colorado,80014,Yes,Solved
342399,Incorrect prices for new customers,15-06-2015,9:50:41 PM,Customer Care Call,Aurora,Illinois,60503,No,Open
359858,Comcast is throttling my internet,23-06-2015,7:16:40 PM,Customer Care Call,Aurora,Illinois,60503,No,Pending
363993,Internet Pricing,25-06-2015,9:30:43 AM,Customer Care Call,Aurora,Illinois,60502,No,Open
223256,MISC. CHARGES,4/8/2015,7:51:06 AM,Customer Care Call,Austell,Georgia,30106,No,Closed
375093,Comast data cap,30-06-2015,3:07:14 PM,Customer Care Call,Austell,Georgia,30168,No,Pending
347937,Comcast throttles internet,18-06-2015,9:15:45 AM,Customer Care Call,Austin,Texas,78731,No,Open
360286,throttling,23-06-2015,10:07:17 PM,Internet,Avon,Colorado,81620,Yes,Pending
279378,Forced Bundling of Internet Service with CATV,5/7/2015,9:16:13 PM,Customer Care Call,Ayer,Massachusetts,1432,No,Open
301854,Comcast Internet,21-05-2015,4:31:00 PM,Customer Care Call,Baden,Pennsylvania,15005,Yes,Closed
306805,Failure to deliver service,26-05-2015,11:29:54 AM,Customer Care Call,Bainbridge Island,Washington,98110,No,Solved
373653,Comcast HBO Go PS4 app,29-06-2015,8:40:56 PM,Customer Care Call,Bainbridge Island,Washington,98110,No,Pending
304583,Comcast's refusal to recognize written notice of termination of service,23-05-2015,10:37:56 AM,Customer Care Call,Bala Cynwyd,Pennsylvania,19004,No,Solved
324795,Rates,6/5/2015,9:59:39 AM,Internet,Bala Cynwyd,Pennsylvania,19004,No,Closed
348338,Termination Fee,18-06-2015,11:14:49 AM,Internet,Ballston Lake,New York,12019,No,Solved
241422,Comcast internet/cable,17-04-2015,1:21:20 PM,Internet,Baltimore,Maryland,21224,No,Closed
252368,I AM BEING CHARGE DOUBLE FOR MY CABLE BILL.,23-04-2015,12:56:29 PM,Customer Care Call,Baltimore,Maryland,21207,No,Open
259003,REPEATED Comcast billing issues,27-04-2015,1:35:21 PM,Customer Care Call,Baltimore,Maryland,21239,No,Closed
312881,unauthorized comcast username setup,29-05-2015,6:31:23 AM,Customer Care Call,Baltimore,Maryland,21206,No,Open
319505,Services turned off in retaliation for complaints,6/2/2015,5:14:14 PM,Customer Care Call,Baltimore,Maryland,21218,No,Closed
342923,Comcast does not disclose the Internet speed I'm paying for anywhere on my bill or online,16-06-2015,11:17:13 AM,Customer Care Call,Baltimore,Maryland,21218,No,Open
343096,Internet speeds disclosure on bill,16-06-2015,12:11:39 PM,Internet,Baltimore,Maryland,21218,No,Solved
343625,Internet speed not disclosed,16-06-2015,3:09:53 PM,Customer Care Call,Baltimore,Maryland,21237,No,Solved
348974,Intermittent Service,18-06-2015,2:04:40 PM,Customer Care Call,Baltimore,Maryland,21209,No,Solved
356080,Comcast billing practices,22-06-2015,2:31:19 PM,Internet,Baltimore,Maryland,21218,No,Solved
360196,monopoly,23-06-2015,9:28:56 PM,Internet,Baltimore,Maryland,21225,No,Solved
358485,Consistently Slow and Throttled Internet Speeds,23-06-2015,1:56:14 PM,Internet,Baltimore,Maryland,21217,No,Pending
360378,Paying for high speed internet with Comcast. Consistently getting slow service.,23-06-2015,10:37:16 PM,Internet,Baltimore,Maryland,21202,No,Open
357904,Comcast Monopoly on Packages is costing me more money for same service,23-06-2015,11:49:09 AM,Customer Care Call,Baltimore,Maryland,21212,No,Solved
361480,"hidden fees, dropped internet connection",24-06-2015,11:43:44 AM,Internet,Baltimore,Maryland,21224,Yes,Solved
364840,COMCAST HIGH SPEED INTERNET MONOPOLY,25-06-2015,12:58:48 PM,Internet,Baltimore,Maryland,21224,No,Solved
368793,ComCast cable In Maryland,26-06-2015,4:25:27 PM,Customer Care Call,Baltimore,Maryland,21222,No,Solved
370296,Billing Dispute & Poor Customer Service,27-06-2015,5:21:39 PM,Internet,Baltimore,Maryland,21239,No,Closed
373716,Comcast change contract,29-06-2015,9:27:12 PM,Customer Care Call,Baltimore,Maryland,21239,Yes,Solved
360325,Comcast throttle,23-06-2015,10:16:47 PM,Customer Care Call,Bargersville,Indiana,46106,No,Pending
249688,Xfinity WiFi access,22-04-2015,10:53:59 AM,Internet,Barnegat,New Jersey,8005,No,Closed
270364,"No internet, no cable",5/2/2015,9:14:09 PM,Customer Care Call,Barrington,Illinois,60010,No,Open
256911,Internet service slow and intermittent,25-04-2015,1:09:19 PM,Customer Care Call,Bartlett,Tennessee,38133,No,Closed
332159,Comcast Account,6/10/2015,10:09:01 AM,Customer Care Call,Bartlett,Tennessee,38135,No,Solved
294386,Week long issues with speed and no help from comcast,18-05-2015,9:36:31 AM,Internet,Bartonville,Illinois,61607,No,Solved
327139,Data Usage Cap Maine,6/6/2015,8:04:42 PM,Customer Care Call,Bath,Maine,4530,No,Open
360806,Comcasts Shady Business Practices,24-06-2015,3:43:45 AM,Internet,Battle Ground,Washington,98604,Yes,Open
375249,Comcast cable,30-06-2015,3:47:29 PM,Internet,Beach Haven,New Jersey,8008,No,Pending
373009,Comcast Pricing,29-06-2015,4:50:06 PM,Internet,Beachwood,New Jersey,8722,No,Open
229055,Comcast Complaint,4/10/2015,2:35:54 PM,Internet,Beale Afb,California,95903,No,Closed
365445,CABLE,25-06-2015,2:25:23 PM,Internet,Beaver Falls,Pennsylvania,15010,No,Solved
252877,Comcast Charges,23-04-2015,3:20:54 PM,Customer Care Call,Beaverton,Oregon,97005,No,Open
316088,Comcast,31-05-2015,11:02:38 PM,Customer Care Call,Beaverton,Oregon,97006,No,Pending
297569,Internet needed!,19-05-2015,4:23:00 PM,Internet,Bedford,Indiana,47421,No,Solved
282375,Deceptive Practices,5/10/2015,9:54:33 AM,Internet,Bedford,Pennsylvania,15522,No,Solved
249174,Comcast fraud,21-04-2015,9:56:13 PM,Internet,Bel Air,Maryland,21014,No,Closed
327919,Complaint CR Comcast Problem - VOIP Phone not working for days,6/8/2015,10:23:24 AM,Internet,Bel Air,Maryland,21014,No,Solved
238313,Comcast,15-04-2015,9:40:42 PM,Internet,Belleville,Michigan,48111,No,Closed
226213,Double-billing,4/9/2015,12:15:51 PM,Internet,Bellevue,Washington,98004,No,Closed
216441,download speeds slower than dial-up but paying for 25 Mbps,4/3/2015,1:41:50 PM,Internet,Bellevue,Washington,98006,No,Closed
364301,Comcast billing error,25-06-2015,11:33:32 AM,Internet,Bellingham,Washington,98229,Yes,Solved
367375,Comcast Internet Technical Support,26-06-2015,4:54:18 AM,Internet,Bellingham,Washington,98225,No,Solved
235996,Comcast Blocking HBOGo on PS4,14-04-2015,9:08:59 PM,Customer Care Call,Belmont,California,94002,No,Closed
231265,Residentail Broadband Data Caps,4/12/2015,3:10:25 PM,Internet,Belmont,Michigan,49306,No,Closed
363097,Comcast,24-06-2015,6:24:00 PM,Internet,Belton,Missouri,64012,No,Open
304557,Monthly Charges Increased without any notice,23-05-2015,10:19:35 AM,Internet,Beltsville,Maryland,20705,No,Solved
260284,Comcast internet for low income families,27-04-2015,8:57:16 PM,Customer Care Call,Belvidere,Illinois,61008,No,Closed
260286,Comcast internet for low income families,27-04-2015,8:57:43 PM,Internet,Belvidere,Illinois,61008,No,Closed
272802,Comcast Service and customer service representative,5/4/2015,8:59:22 PM,Internet,Bensalem,Pennsylvania,19020,No,Closed
293050,Poor internet connection/dropped connection since installation of new modem,16-05-2015,8:32:31 AM,Internet,Bensalem,Pennsylvania,19020,No,Solved
351961,Comcast Billing,19-06-2015,1:46:28 PM,Internet,Bensalem,Pennsylvania,19020,Yes,Solved
360739,Bank Fee Refund Reques,24-06-2015,1:48:55 AM,Internet,Berkeley,California,94704,No,Closed
360830,COMCAST Unfair Charge,24-06-2015,4:24:26 AM,Internet,Berkeley,California,94705,No,Pending
370385,Wrongful Billing,27-06-2015,6:44:08 PM,Customer Care Call,Berkeley,California,94704,No,Solved
232450,Billing problem,13-04-2015,2:26:56 PM,Customer Care Call,Berkeley Lake,Georgia,30096,No,Closed
373879,Service refusal and lower than advertised speeds.,30-06-2015,12:40:28 AM,Internet,Berkeley Spring,West Virginia,25411,No,Open
347973,COMCAST - MAJOR COMPLAINT 1ST TIME CUSTOMER - AGGRAVATED HEALTH ISSUES,18-06-2015,9:37:51 AM,Customer Care Call,Berwyn,Pennsylvania,19312,No,Closed
353984,Connecting the service,20-06-2015,3:28:21 PM,Customer Care Call,Bethesda,Maryland,20817,No,Solved
348310,Over Charge by lying,18-06-2015,11:08:53 AM,Internet,Blacksburg,Virginia,24060,No,Solved
300985,Comcast keeps changing bill and every time gives new reasons!!,21-05-2015,11:29:53 AM,Internet,Blackwood,New Jersey,8012,No,Solved
336029,Ad in craigslist was a scam for selling product not owned,6/11/2015,9:31:55 PM,Internet,Blackwood,New Jersey,8012,No,Closed
353614,Comcast Internet,20-06-2015,10:58:15 AM,Customer Care Call,Blaine,Washington,98230,No,Solved
350810,Comcast billing after discontinuation of service,18-06-2015,10:52:12 PM,Customer Care Call,Blairstown,New Jersey,7825,No,Solved
347021,COMPLAINT AGAINST COMCAST,17-06-2015,6:54:21 PM,Customer Care Call,Bloomfield,Michigan,48302,No,Open
347789,Comcast data cap,18-06-2015,3:22:37 AM,Internet,Bloomingdale,Georgia,31302,No,Open
358822,Comcast Issues,23-06-2015,3:05:04 PM,Internet,Bloomingdale,Georgia,31302,No,Pending
249465,Comcast charging a fee without disclosing,22-04-2015,8:44:27 AM,Internet,Bloomington,Illinois,61701,No,Closed
360372,increased bill,23-06-2015,10:36:29 PM,Internet,Bloomington,Illinois,61704,No,Solved
360432,"Incorrect charges, and would not fix",23-06-2015,11:00:41 PM,Internet,Bloomington,Illinois,61701,No,Open
367310,Suspected Throttling,26-06-2015,1:00:33 AM,Internet,Bloomington,Illinois,61704,Yes,Open
251442,constant disruption of internet service,22-04-2015,9:41:10 PM,Customer Care Call,Bloomington,Indiana,47401,No,Closed
363940,Comcast Unfair Billing Practices,25-06-2015,9:05:14 AM,Customer Care Call,Bloomington,Indiana,47408,No,Solved
367449,Incorrect Billing and Service from Comcast,26-06-2015,8:45:22 AM,Internet,Bloomington,Indiana,47401,No,Solved
312775,Comcast reduced my internet speed,28-05-2015,11:01:44 PM,Customer Care Call,Bloomington,Minnesota,55420,No,Solved
360666,Keep getting charged rental fees for modem I already own,24-06-2015,12:49:46 AM,Customer Care Call,Bloomington,Minnesota,55431,No,Solved
327468,Dealing with Comcast/Xfinity,6/7/2015,3:07:09 PM,Internet,Bloominton,Illinois,61701,No,Closed
239613,Over Billing,16-04-2015,3:03:03 PM,Customer Care Call,Boca Raton,Florida,33496,No,Closed
